54.36	229.9	-1.566	5.347
53.98	231.3	-1.334	3.856
53.59	232.7	-0.7997	1.378
53.21	234.2	-0.1556	0.05183
52.82	235.6	0.3441	0.252
52.44	237.1	0.5395	0.6156
52.05	238.5	0.4075	0.3491
51.67	240	0.03747	0.002933
51.28	241.4	-0.3798	0.2996
50.9	242.7	-0.6236	0.8032
50.51	244.1	-0.5247	0.5655
50.13	245.4	-0.08946	0.01635
49.74	246.6	0.5794	0.6823
49.36	247.8	1.307	3.453
48.97	249	1.911	7.349
48.59	250.1	2.268	10.32
48.2	251.1	2.401	11.51
47.82	252.1	2.409	11.54
47.43	253	2.426	11.67
47.04	253.8	2.573	13.08
46.66	254.5	2.92	16.8
46.27	255.1	3.414	22.9
45.88	255.7	3.938	30.4
45.5	256.2	4.374	37.45
45.11	256.5	4.624	41.78
44.72	256.8	4.608	41.46
44.33	256.9	4.288	35.87
43.95	257	3.673	26.32
43.56	257	2.78	15.08
43.17	256.8	1.654	5.34
42.79	256.6	0.3831	0.2867
42.4	256.3	-0.9167	1.644
42.01	255.9	-2.148	9.038
41.62	255.4	-3.262	20.88
41.23	254.8	-4.259	35.68
40.85	254.2	-5.198	53.29
40.46	253.5	-6.167	75.23
40.07	252.7	-7.216	103.3
